pkg_name;pkg_size_mb;pkg_size
xfconf-lang;0;284692
typelib-1_0-WebKit-1_0;0;281656
liblcms-devel;0;278353
yast2-ntp-client;0;272824
bc;0;259748
libxfce4util-lang;0;259659
tnftp;0;251193
plasma-addons-akonadi;0;250749
kdebase4-workspace-plasma-calendar;0;248831
totem-pl-parser-lang;0;246398
xfce4-appfinder-lang;0;245330
libpwquality-lang;0;241853
ntfs-3g;0;238113
python-kde4-knewstuff;0;237744
intlfonts-euro-bitmap-fonts;0;236329
perl-TermReadLine-Gnu;0;231599
python-beautifulsoup;0;229191
json-glib-lang;0;227458
tumbler-lang;0;226132
xf86-video-nouveau;0;222592
sox;0;222287
libreoffice-templates-labels-a4;0;221113
gnome-menus-lang;0;220874
xfce4-taskmanager-lang;0;217826
dconf-lang;0;214782
glib-networking-lang;0;213387
libtracker-miner-1_0-0;0;210080
grilo-lang;0;208988
libqmi-tools;0;208380
kde-gtk-config-lang;0;206386
dmidecode;0;198017
acl;0;197686
soprano-backend-virtuoso;0;193359
libqt5-qtbase-platformtheme-gtk2;0;193185
gsl;0;190529
libucil2;0;186944
patch;0;185426
xf86-video-nv;0;178925
icoutils;0;178546
hdparm;0;178455
cups-devel;0;176939
vte-lang;0;175986
yast2-nis-client;0;175519
vte2-lang;0;174766
libpeas-lang;0;172688
tack;0;172680
python-httplib2;0;172643
cpupower;0;166435
xrandr;0;161397
libyui-qt-graph6;0;159224
thunar-plugin-media-tags-lang;0;158127
libxfcegui4-lang;0;157962
alsa-plugins;0;156931
hplip-sane;0;154856
sash;0;154325
libsoup-lang;0;153690
numactl;0;151866
gvfs-backend-afc;0;151526
gstreamer-plugins-bad-lang;0;151115
wol;0;149733
baloo-kioslaves;0;148417
fribidi;0;145806
libgpod-lang;0;145671
libtranslate0;0;144232
media-player-info;0;144049
iw;0;139161
kdialog;0;138963
kscreen-lang;0;138537
yast2-add-on;0;133227
usbmuxd;0;132882
gxditview;0;132733
libattica-devel;0;132022
gstreamer-0_10-utils;0;131501
attr;0;127710
xf86-input-joystick;0;127674
kipi-plugins-acquireimage;0;125901
baloo-tools;0;123488
yast2-metapackage-handler;0;123402
gnome-js-common;0;123296
ncurses-utils;0;123165
ed;0;122055
xdg-user-dirs-gtk-lang;0;121757
pax;0;120167
libkgeomap-lang;0;118168
libgarcon-lang;0;117861
telnet;0;116059
alacarte-lang;0;114339
perl-XML-XPathEngine;0;112913
pinentry-gtk2;0;111520
libvdpau_va_gl1;0;111175
xz-lang;0;110603
lightdm-lang;0;108538
xfce4-notifyd-lang;0;108095
gstreamer-utils;0;107442
glproto-devel;0;107169
xdg-user-dirs-lang;0;107155
graphviz-gnome;0;107040
traceroute;0;105826
python-kdebase4;0;103833
xf86-input-mouse;0;102249
hunspell-tools;0;99669
vlan;0;98362
lightdm-gtk-greeter-lang;0;96603
checkmedia;0;95397
xfce4-mixer-lang;0;93200
libgnome-keyring-lang;0;92361
cups-pk-helper-lang;0;91916
libgnomesu-lang;0;91601
DirectFB-Mesa;0;90200
xfce4-panel-plugin-notes-lang;0;88325
at-spi2-core-lang;0;88270
pam-modules-32bit;0;87152
thunar-plugin-archive-lang;0;87048
gpart;0;79037
avahi-compat-mDNSResponder-devel;0;78834
libidn-devel;0;78198
gstreamer-plugins-ugly-lang;0;77274
libdvbpsi7;0;77224
libgpod-tools;0;75506
xfce4-panel-plugin-xkb-lang;0;75438
grilo-plugin-tracker;0;73605
procinfo;0;73360
libplist1;0;73069
xdpyinfo;0;72273
remmina-plugin-rdp;0;70498
plasma-addons-marble;0;70037
xfce4-panel-plugin-power-manager;0;68970
perl-PlRPC;0;68666
bridge-utils;0;67624
gstreamer-0_10-plugins-ugly-lang;0;67507
libgrlnet-0_2-0;0;66484
samba-winbind-32bit;0;66032
libpurple-tcl;0;65608
nss-mdns-32bit;0;65210
gstreamer-0_10-plugins-bad-lang;0;65105
mpt-status;0;64424
notification-daemon-lang;0;63480
cyrus-sasl-32bit;0;62112
libosinfo-lang;0;61963
gconf-polkit;0;61383
mozilla-kde4-integration;0;60480
libacl-devel;0;60283
haveged;0;59761
gegl-0_2-lang;0;59654
libsecret-lang;0;57437
accountsservice-lang;0;57413
gcr-viewer;0;54995
liboauth0;0;54566
libproxy1-config-gnome3;0;54456
myspell-lightproof-en;0;54178
zisofs-tools;0;54062
python-notify;0;53268
perl-Data-Dump;0;52884
xf86-video-modesetting;0;52693
gsettings-backend-dconf;0;52520
python-gnomekeyring;0;51823
sane-backends-autoconfig;0;51180
libiptcdata-lang;0;50686
b43-fwcutter;0;48947
remmina-plugin-vnc;0;47986
libcue1;0;47720
hicolor-icon-theme-branding-openSUSE;0;47430
graphviz-gd;0;47224
irqbalance;0;46779
systemd-bash-completion;0;45474
avahi-autoipd;0;44975
PackageKit-browser-plugin;0;44264
libatm1;0;43792
ptools;0;43455
OpenPrintingPPDs;0;43071
samba-32bit;0;42808
gnome-keyring-pam-32bit;0;42656
udev-configure-printer;0;41188
dirmngr-lang;0;41133
linux32;0;40534
perl-HTML-Tidy;0;40355
libgssglue1-32bit;0;38672
lockdev;0;38377
fipscheck;0;37951
gvfs-fuse;0;37720
xf86-input-keyboard;0;37056
xtermset;0;36980
dri2proto-devel;0;36458
netcat-openbsd;0;36091
prctl;0;36002
cyrus-sasl-gssapi;0;35624
crda;0;35237
perl-Text-Wrapper;0;34822
at-spi2-atk-gtk2;0;34740
yast2-x11;0;32748
finger;0;32347
ibus-gtk3;0;31816
ibus-gtk;0;31784
libtracker-control-1_0-0;0;31512
setserial;0;30986
apparmor-utils-lang;0;30359
perl-MLDBM;0;30283
gtkspell-lang;0;29182
libpeas-loader-python;0;27480
libpeas-loader-python3;0;27480
libproxy1-config-kde4;0;27312
ghostscript-fonts;0;26289
resourceproto-devel;0;25007
glibc-extra;0;24370
gsynaptics-lang;0;23277
libcanberra-gtk2-module;0;23200
libcanberra-gtk3-module;0;23192
libpeas-loader-seed;0;23176
libproxy1-pacrunner-webkit;0;23120
cyrus-sasl-crammd5;0;22992
gom-lang;0;22868
vaapi-dummy-driver;0;22664
site-config;0;21978
perl-Tie-IxHash;0;21028
typelib-1_0-GstPbutils-1_0;0;20904
PackageKit-gtk3-module;0;20883
ucode-amd;0;20560
libbz2-devel;0;19802
remmina-plugin-xdmcp;0;19665
gtk2-immodule-amharic;0;19600
gtk3-immodule-amharic;0;19600
typelib-1_0-Secret-1;0;19444
enchant-devel;0;19250
libva-glx1;0;19024
xdmbgrd;0;18664
translation-update-cs;0;18002
translation-update-en_US;0;18002
translation-update-sk;0;18002
libreoffice-mailmerge;0;17159
lsb-release;0;16571
numlockx;0;15981
plymouth-dracut;0;15725
ksshaskpass;0;15377
gimp-plugin-aa;0;14896
PackageKit-gstreamer-plugin;0;14848
python3-gobject-cairo;0;14712
libproxy1-networkmanager;0;14704
gtk2-immodule-thai;0;14544
gtk3-immodule-thai;0;14544
python-gobject-cairo;0;14544
xf86driproto-devel;0;14189
giflib-devel;0;13285
rfkill;0;12473
tunctl;0;12408
pk-update-icon-lang;0;12357
x11-tools;0;12080
upower-lang;0;11299
gdk-pixbuf-loader-libopenraw;0;10736
plymouth-plugin-label;0;10568
gdk-pixbuf-loader-rsvg;0;10552
intlfonts;0;9798
samba-client-32bit;0;9704
btrfsmaintenance;0;9622
gtk3-immodule-inuktitut;0;8344
gtk2-immodule-inuktitut;0;8344
gtk2-immodule-vietnamese;0;8232
gtk3-immodule-vietnamese;0;8232
perl-LWP-Protocol-https;0;8074
zypper-log;0;6388
libva-egl1;0;6072
ibus-branding-openSUSE-KDE;0;5269
gtk2-data;0;3969
gconf2-branding-openSUSE;0;3150
xorg-x11-essentials;0;3102
typelib-1_0-PeasGtk-1_0;0;2896
zypper-aptitude;0;1851
clutter-gtk-lang;0;1840
branding-openSUSE;0;1632
shared-desktop-ontologies-devel;0;850
parallel-printer-support;0;494
xorg-x11-driver-input;0;254
bundle-lang-other;0;135
postgresql-contrib;0;83
postgresql-devel;0;83
gnome-games;0;77
cdrkit-cdrtools-compat;0;0
